date,title,venue,city,description
Wed 04  - Thu 05 Dec 2019,Future Work Live (FWL),One Liberty Plaza ,New York,Future Work Live is a new high-level summit for senior HR and People & Culture executives to come together and design the future of employee experience. It will be covering important areas such as People...
Wed 04  - Thu 05 Dec 2019,Responsible Investor Conference New York (RI Conference),Convene at 117 W 46th Street ,New York,Responsible Investor Conference New York will provide a forum for investors to debate shareholder rights and proxy access the role of central banks and securities regulators in climate risk the importance...
Wed 04  - Thu 05 Dec 2019,IREI CEO Summit,Harvard Club of  City ,New York,The program will be structured as facilitated small and large group discussions peppered with social networking time where you can get to know your peers in the industry on a more intimate basis and...
Thu 05 Dec 2019,CIO Executive Leadership Summit,Crowne Plaza Times Square Manhattan ,New York,CIO Executive Leadership Summit will deliver world-class thought leadership where attendees receive unique insights into best practices and hear success stories involving leadership management technology...
Thu 05 Dec 2019,Future Festival New York (FF New York),The Landmark at 57 West ,New York,Future Festival New York combines the best of our trend research with our proven innovation strategies. It will kick off by diving into the 6 Patterns of Opportunity outlined in CEO Jeremy Gutsche’s...
Thu 05 Dec 2019,Women in Media,26 Bridge | BK Venues ,New York,Women in Media creates a platform for empowering women within the Industry. Leading executives will provide insight into how they have earnt their success the challenges they face and the innovative process...
Thu 05 Dec 2019,AI Summit,Convene Conference Center ,New York,AI Summit features presentations on critical topics in various industries designed and led by the executive attendees themselves and the event seeks to cultivate each attendee's individual expertise...
Thu 05 Dec 2019,Insurance Coverage and Practice Symposium,Sheraton  Times Square Hotel ,New York,Insurance Coverage and Practice Symposium is the largest international platforms of its kind where attendees will able to get professional assistance as well as they will able to develop excellent networking...
Thu 05 Dec 2019,ESG Integration Forum,Shearman & Sterling ,New York,Develop an Integrated Approach Around Investor Expectations on ESG Issues
Thu 05 Dec 2019,New York Transcatheter Valves Symposium,Grand Hyatt  ,New York,Patient Focused Evidence-Based Approach
Thu 05 Dec 2019,AISecurity Summit,New York,New York,AISecurity Summit is 1to1 pre-determined 30-minute meetings including dedicated roundtable thought leadership and keynote sessions on summit agenda 14 hours of networking across the event. This summit...
Thu 05 Dec 2019,North American Construction Law Symposium (NACLS),Harvard Club of  City ,New York,North American Construction Law Symposium will continue the CLSA's exclusive advanced construction law series where you will have the opportunity of speaking before and learning from your elite peers...
Thu 05 Dec 2019,CLM New York,The Westin  at Times Square ,New York,CLM New York covers a wide range of important issues during interactive sessions. Participants will learn about the latest developments and trends in coverage litigation as well as strategies for handling...
Thu 05 Dec 2019,FT Investing for Good USA,Stewart Hotel  ,New York,Mobilizing Private Capital to Meet the SDGs
Thu 05 Dec 2019,The Big Business of WELL Symposium,225 Liberty Street   10018 ,New York,The Big Business of WELL Symposium will bring together leaders who will discuss how they innovate reinvent and invest to change their categories and companies to win a bigger share of shopper spending...
Mon 25 Nov - Fri 06 Dec 2019,Leadership and Management Masterclass,New York,New York,Essential Approaches & Contributions to Organizational Success
Tue 03  - Fri 06 Dec 2019,Fundamentals of Corporate Credit,New York,New York,Provides a solid foundation of best practice tools and techniques for fundamental credit analysis.
Tue 03  - Fri 06 Dec 2019,Project Management Professional 4-days Bootcamp in New York City NY (PMP Bootcamp),New York,New York,The Boost that Your Career Requires
Tue 03  - Fri 06 Dec 2019,Lean Six Sigma Green Belt 4-days Bootcamp in New York City,New York,New York,The Boost that Your Career Requires
Tue 03  - Fri 06 Dec 2019,Lean Six Sigma Black Belt 4-days Bootcamp in New York City (LSSBB Bootcamp),New York,New York,The Boost that Your Career Requires
Wed 04  - Fri 06 Dec 2019,Advanced Bank Risk Analysis,New York,New York,The Advanced Bank Risk Analysis seminar is a three-day course that provides you with a structured framework for the comprehensive analysis of bank risk profiles in both developed and emerging markets....
Wed 04  - Fri 06 Dec 2019,ICIS Pan-American Base Oils & Lubricants Conference (ICIS conferences),Hyatt Regency  on the Hudson,Jersey City,Oil and Lubricants for Industrial use
Wed 04  - Fri 06 Dec 2019,Annual Operational Risk Management,New York,New York,Strengthen operational resilience to tackle emerging risks via benchmarking & targeted improvement
Wed 04  - Fri 06 Dec 2019,LIBOR Transition in Derivatives and Cash Products,New York,New York,Strategies for a transition to alternative risk-free rates for contracts in fixed income portfolios
Thu 05  - Fri 06 Dec 2019,Critical Thinking,AMA Conference Center  City ,New York,Demonstrate clearer and more effective critical thinking skills for business
Thu 05  - Fri 06 Dec 2019,Cuny It Conference,John Jay College of Criminal Justice ,New York,Cuny It Conference will feature CUNY executives IT leaders faculty and staff will come together to network and engage in important conversations surrounding the use of technology in all aspects of research...
Thu 05  - Fri 06 Dec 2019,Professional Liability Seminar,Sheraton  Times Square Hotel ,New York,Professional Liability Seminar focuses on the issues of defense against the negligence to professional services and other matters about outsourcing online business and intelligent property...
Thu 05  - Fri 06 Dec 2019,Machine Learning & Artificial Intelligence in Quantitative Finance Conference,Downtown Conference Center  ,New York,Machine Learning & Artificial Intelligence in Quantitative Finance Conference focuses on Fuelling the Artificial Intelligence Revolution with Gaming Unsupervised Learning for Information Compression to...
Thu 05  - Fri 06 Dec 2019,Food-Energy-Water Nexus,IT Auditorium on Broadway ,New York,How do we provide and maintain the food energy and water supplies in urban environments as the population continues to increase Obstacles and initiatives are the focus of this conference and attendees...
Thu 05  - Fri 06 Dec 2019,Enterprise Architecture for Financial Institutions (EA for Banking),W Hoboken,Jersey City,The IT framework of financial institutions is constantly evolving especially in growing enterprises. The main causes of this transformation are new developing technologies increased business activities...
Thu 05  - Fri 06 Dec 2019,KARRASS Effective Negotiating Seminar,Millennium Hilton  Downtown ,New York,KARRASS Effective Negotiating Seminar is the only internal negotiating program of its kind. You will learn how to negotiate an open exchange of thoughts ideas and concerns using cooperative Both-Win...
Fri 06 Dec 2019,Controllership Forum: Strategies for Success,TKP  Conference Center ,New York,The Controllership Forum Strategies for Success is a platform to discover how to succeed in uncertain times by using new real-world strategies to obtain credit deal with capital reduce overhead costs...
Fri 06 Dec 2019,Emerging Manager Summit, Society of Security Analysts ,New York,The Emerging Manager Summit will bring together professionals who are thinking about launching getting ready to launch or have recently launched a money management firm and it will provide a platform...
Fri 06 Dec 2019,E-Commerce Marketing Forum,26 Bridge | BK Venues ,New York,E-Commerce Marketing Forum will bring those at the forefront of marketing & e-commerce together providing an outlet for thought sharing leading to change & growth. Each speaker shares their incredible...
Fri 06 Dec 2019,Hindsight Conference, City College of Technology ,New York,Hindsight Conference theme will be Erasure Remembrance and Healing. This yearâs conference theme reflects on the intersection of urban planning policy and community development with the erasure...
Fri 06 Dec 2019,MIP European Patent Forum,Rockefeller Center ,New York,MIP European Patent Forum will introduce more interactive elements for you to debate and share insights with other leading European patent lawyers and experts. It is a platform to gain forward-thinking...
Wed 04  - Sat 07 Dec 2019,DECA New York Experience,The er A Wyndham Hotel ,New York,DECA New York Experience will reinforce concepts taught in marketing finance hospitality and fashion merchandising classes.It will cover araes like describe the role of financial institutions explain...
Thu 05  - Sat 07 Dec 2019,The Cutting Edge Aesthetic Surgery Symposium, Marriott Marquis ,New York,How to Avoid Complications and What to Do for Revisions
Thu 05  - Sat 07 Dec 2019,Update in Gastroenterology Hepatology & Nutrition,Columbia University Irving Medical Center - William Black Bldg. ,New York,The Update in Gastroenterology Hepatology & Nutrition features Feeding Tubes Dementia and Medical Ethics David D. Markowitz M.D. & Kenneth M. Prager M.DAdvanced Hepatobiliary Cases Michel Kahaleh...
Fri 06  - Sat 07 Dec 2019,Recycling and Waste Management Technologies,New York,New York,Recycling is the way toward changing over waste materials into new materials and items. It is another option to traditional waste transfer that can spare material and help bring down ozone-harming substance...
Fri 06  - Sat 07 Dec 2019,Geosciences and Natural Resources,New York,New York,Geosciences and Natural Resources features keynote presentations Oral talks poster presentations and exhibitions. Geoscience is the scientific study of the planet Earth and its many different natural...
Sat 07 Dec 2019,Onco-Nephrology Symposium,Zuckerman research center ,New York,Onco-Nephrology Symposium will offer up to date information and insights from national and international experts in this constantly evolving subspecialty.  This goal of this forum is to provide an opportunity...
Fri 06  - Sun 08 Dec 2019,New York Cardiovascular Symposium, Hilton Midtown ,New York,The New York Cardiovascular Symposium leads the learner through seminal scientific papers presented by authors who directly contributed to the science. Then hear from experts as they translate the latest...
Fri 06  - Sun 08 Dec 2019,International Coronary Congress (ICC), Marriott Marquis ,New York,The International Coronary Congress will cover areas like Surgical coronary revascularization.
Sat 07  - Mon 09 Dec 2019,Cloud Native Service Transformation New York,Novotel  Times Square ,New York,Cloud Native Service Transformation New York is a technology transformation event aggregating Technology Leaders Industry Experts Service Providers Enterprises Entrepreneurs & Startups alongside with...
Sun 08  - Mon 09 Dec 2019,International Conference on Agricultural and Biosystems Engineering (ICABE),New York,New York,International Conference on Agricultural and Biosystems Engineering (ICABE) aims to bring together leading academic scientists professors researchers students and research scholars to exchange and...
Sun 08  - Mon 09 Dec 2019,International Conference on Architectural and Environmental Engineering (ICAEE),New York,New York,The International Conference on Architectural and Environmental Engineering aims to bring together leading academic scientists professors researchers students and research scholars to exchange and share...
Sun 08  - Mon 09 Dec 2019,International Conference on Nutrition and Food Sciences (ICNFS),New York,New York,The International Conference on Nutrition and Food Sciences aims to bring together leading academic scientists professors researchers students and research scholars to exchange and share their experiences...
Sun 08  - Mon 09 Dec 2019,International Conference on Fisheries and Aquatic Sciences (ICFAS),New York,New York,International Conference on Fisheries and Aquatic Sciences aim to bring together leading academic scientists professors researchers students and research scholars to exchange and share their experiences...
Sun 08  - Mon 09 Dec 2019,International Conference on Computer and Information Engineering (ICCIE),New York,New York,The International Conference on Computer and Information Engineering aims to bring together leading academic scientists professors researchers students and research scholars to exchange and share their...
Sun 08  - Mon 09 Dec 2019,International Conference on Electronics and Communication Engineering (ICECE),New York,New York,The International Conference on Electronics and Communication Engineering aims to bring together leading academic scientists professors researchers students and research scholars to exchange and share...
Sun 08  - Mon 09 Dec 2019,International Conference on Animal and Veterinary Sciences (ICAVS),New York,New York,The International Conference on Animal and Veterinary Sciences aims to bring together leading academic scientists professors researchers students and research scholars to exchange and share their experiences...
Sun 08  - Mon 09 Dec 2019,International Conference on Biotechnology and Bioengineering (ICBB),New York,New York,The International Conference on Biotechnology and Bioengineering aims to bring together leading academic scientists professors researchers students and research scholars to exchange and share their...
Sun 08  - Mon 09 Dec 2019,International Conference on Civil and Structural Engineering (ICCSE),New York,New York,The International Conference on Civil and Structural Engineering aims to bring together leading academic scientists professors researchers students and research scholars to exchange and share their...
Sun 08  - Mon 09 Dec 2019,International Conference on Electrical and Computer Engineering (ICECE),New York,New York,The International Conference on Electrical and Computer Engineering (ICECE) aims to bring together leading academic scientists professors researchers students and research scholars to exchange and share...
Sun 08  - Mon 09 Dec 2019,International Conference on Industrial and Manufacturing Engineering (ICIME),New York,New York,The International Conference on Industrial and Manufacturing Engineering aims to bring together leading academic scientists professors researchers students and research scholars to exchange and share...
Sun 08  - Mon 09 Dec 2019,International Conference on Aerospace and Mechanical Engineering (ICAME),New York,New York,The International Conference on Aerospace and Aviation Engineering aims to bring together leading academic scientists professors researchers students and research scholars to exchange and share their...
Sun 08  - Mon 09 Dec 2019,International Conference on Business and Management Engineering (ICBME),New York,New York,The International Conference on Business and Management Engineering aims to bring together leading academic scientists professors researchers students and research scholars to exchange and share their...
Sun 08  - Mon 09 Dec 2019,International Conference on Energy and Power Engineering (ICEPE),New York,New York,The International Conference on Energy and Power Engineering aims to bring together leading academic scientists professors researchers students and research scholars to exchange and share their experiences...
Sun 08  - Mon 09 Dec 2019,International Conference on Software and Information Engineering (ICSIE),New York,New York,The International Conference on Software and Information Engineering aims to bring together leading academic scientists professors researchers students and research scholars to exchange and share their...
Sun 08  - Mon 09 Dec 2019,International Conference on Ocean Offshore and Arctic Engineering (ICOAE),New York,New York,The International Conference on Ocean Offshore and Arctic Engineering aims to bring together leading academic scientists professors researchers students and research scholars to exchange and share...
Sun 08  - Mon 09 Dec 2019,International Conference on Environmental and Ecological Engineering (ICEEE),New York,New York,The International Conference on Environmental and Ecological Engineering aims to bring together leading academic scientists professors researchers students and research scholars to exchange and share...
Sun 08  - Mon 09 Dec 2019,International Conference on Biodiversity and Ecosystems (ICBE),New York,New York,The International Conference on Biodiversity and Ecosystems aims to bring together leading academic scientists professors researchers students and research scholars to exchange and share their experiences...
Sun 08  - Mon 09 Dec 2019,International Conference on Mechanical and Mechatronics Engineering (ICMME),New York,New York,The International Conference on Mechanical and Mechatronics Engineering aims to bring together leading academic scientists professors researchers students and research scholars to exchange and share...
Sun 08  - Mon 09 Dec 2019,International Conference on Metallurgical and Materials Engineering (ICMME),New York,New York,International Conference on Metallurgical and Materials Engineering aims to bring together leading academic scientists professors researchers students and research scholars to exchange and share their...
Mon 09 Dec 2019,Cap Intro Real Estate Fund investing,The Capital Grille ,New York,Cap Intro Real Estate Fund Investing focuses on the Real Estate Fund Investing industry. Strategies covered will include among others: development added-value commercial single-multi residential single...
Mon 09 Dec 2019,Education Business Forum,Princeton Club of  ,New York,The Education Business Forum is ed tech event for education business leadership and the investor community and brings together senior management teams of education software companies platform technology...
Mon 09 Dec 2019,Open FinTech Forum,One Liberty Plaza ,New York,Open FinTech Forum will provide CIOs and senior technologists guidance on building internal open source programs as well as an in-depth look at cutting-edge open source technologies including AI Blockchain/Distributed...
Mon 09 Dec 2019,Annual Invest in Greece Forum,Metropolitan Club ,New York,Annual Invest in Greece Forum provide the audience with a unique blend of informational marketing and networking opportunities and feature the developments and reforms in the Greek economy and the Greek...
Mon 09 Dec 2019,Beverage Digest Future Smarts (BDFS),Crowne Plaza Times Square Manhattan ,New York,Find out what you missed. Discover what's coming.
Mon 09 Dec 2019,RIMS Risktech,Convene at 237 Park Avenue ,New York,RIMS Risktech is themed as Empowering Risk Managers for Tomorrow and it features a forum that will provide guidance on the latest technology tools that can help risk professionals manage risk today.
Mon 09  - Tue 10 Dec 2019,Time Management,AMA Conference Center  City ,New York,There is enough time in a day. Learn the most effective ways to manage it.
Mon 09  - Tue 10 Dec 2019,International Bariatric Endoscopic Surgical Trends congress (BEST),The Roosevelt Hotel ,New York,International Bariatric Endoscopic Surgical Trends congress will focus on the quest for a personalized approach in bariatric and metabolic surgery. From indications to outcomes we will be defining the...
Mon 09  - Tue 10 Dec 2019,Coal Trading Conference,The Westin  at Times Square ,New York,Coal Trading Conference is a premier event for industry leaders with a full-day conference program preceded by a networking reception the evening before. Coal traders and brokers buyers and sellers...
Tue 10 Dec 2019,Annual Blockchain Opportunity Summit,Morrison & Foerster LLP ,New York,Unleashing Blockchain Powered Business Transformation
Tue 10 Dec 2019,Technology & Services Conference,Lotte  Palace ,New York,The Technology & Services Conference is a unique one-day event consisting of small group and private prescheduled one-on-one management meetings. These meetings are available throughout the day allowing...
Tue 10 Dec 2019,Marcum's Year-End Tax Seminar - New York City,Pepper Hamilton LLP ,New York,Marcum's Year-End Tax Seminar - New York City the discussion will be comprehensive for both individuals and businesses and will include a comprehensive discussion about the new tax law provisions and...
Tue 10 Dec 2019,Best Nonprofit Conference,Ford Foundation Center for Social Justice ,New York,Best Nonprofit Conference is designed to make your organization stronger. This one-of-its-kind conference is an opportunity for all of us to learn from and aspire to the best practices of exceptional...
Mon 09  - Wed 11 Dec 2019,Financial Forecasting,AMA Conference Center  City ,New York,Financial Forecasting is a platform to master the key components and skills to create forecasts and learn to translate and appraise the forecasts of others. In addition you'll understand how to interpret...
Mon 09  - Wed 11 Dec 2019,Corporate Credit Rating Analysis,,New York,Corporate Credit Rating Analysis provides participants with an in-depth understanding of the publicly-available credit rating practices and methodologies for assessing corporate credit risk. This course...
Mon 09  - Wed 11 Dec 2019,Digital Medicine Conference (DMC),Microsoft Technology Center ,New York,The call for evidence in digital medicine is getting louder and the movement is gaining momentum. Join NODE Health for the annual Digital Medicine Conference where we will convene the leaders driving the...
Mon 09  - Wed 11 Dec 2019,Global TMT Conference, Hilton Midtown ,New York,Thought leading UBS analysts and banking teams across the tech media and telecom sectors will now collaborate to create an unparalleled offering creating a one-stop-shop for investor access to top TMT...
Tue 10  - Wed 11 Dec 2019,New York Forum on Economic Sanctions,The Westin  at Times Square ,New York,The New York Forum on Economic Sanctions convenes a diverse mix of financial institutions exporters and their advisers to provide practical and timely country-specific sanctions insights and address...
Tue 10  - Wed 11 Dec 2019,Security Investor Conference (SIC),InterContinental  Barclay ,New York,Security Investor Conference premier industry gathering connecting the leading security-focused companies with an audience of key investors and business leaders. We expect to drive continued success by...
Wed 11 Dec 2019,Global Energy Outlook Forum, Marriott Downtown ,New York,
Wed 11 Dec 2019,Financial Analysis of Local Governments,,New York,The conference designed to provide attendees with the tools to analyze local government financial statements with a focus on the unique accounting methods and credit concerns seen in public finance.
Wed 11 Dec 2019,Fearless in FinTech,Morrison & Foerster LLP ,New York,Fearless in FinTech will bring together a majority female speaker faculty and audience from the forefront of start-ups investment firms and established organizations in the Financial Services space to...
Wed 11 Dec 2019,Global Trade Symposium, Hilton Midtown ,New York,Global Trade Symposium is the annual gathering of international traders of fruits and vegetables. It brings the best minds from around the world to discuss the intricacies of import and export in an ever-challenging...
Wed 11 Dec 2019,Facilities America Expo & Education Forum,Meadowlands Exposition Center,Newark,Facilities America Expo & Education Forum will feature FAEEF attendee you'll see industry professionals from leading companies & organization; along with AFE sponsored educational forum sessions addressing...
Wed 11 Dec 2019,New York and Tri-State Taxation Conference,TKP  Conference Center ,New York,New York Tri-State Taxation Conference focuses on accountants in public practice and industry involved in New York State and Tri-State return preparation tax planning and client representation. Learn...
Mon 09  - Thu 12 Dec 2019,IFRS Boot Camp: Four-Day Certification Program,TKP  Conference Center ,New York,
Tue 10  - Thu 12 Dec 2019,New York National Deal Making,Jacob K. Javits Convention Center ,New York,Give the new heights to Real Estate industry
Wed 11  - Thu 12 Dec 2019,Global Institutional Real Estate Investor Forum,Union League Club ,New York,Global Istitutional Real Estate Investor Forum brings together 300+ investors funds and advisers for a two day meeting to discuss sectors due diligence and real estate investment opportunities in the...
Wed 11  - Thu 12 Dec 2019,Drug and Medical Devices Litigation Conference, Marriott Marquis ,New York,Conference focus on increasing Pressures face the drug & device industries
Wed 11  - Thu 12 Dec 2019,The AI Summit New York (AlSNY),Javits Center in  Jewelry Show ,New York,The only event globally to focus exclusively on the impact of AI in business
Wed 11  - Thu 12 Dec 2019,IMG Intercollegiate Athletics Forum,Crowne Plaza Times Square Manhattan ,New York,IMG Intercollegiate Athletics Forum provides an insider's view by offering firsthand insights from those directly shaping the future of intercollegiate athletics. The Forum's speaker faculty consists of...
Thu 12 Dec 2019,Labor Law & Labor Arbitration,Crowne Plaza Times Square Manhattan ,New York,Labor Law & Labor Arbitration is a platform where a rotating group of top labor arbitrators comes together for a day of teaching and learning. They cover the topics and issues which labor and management...
Thu 12 Dec 2019,Annual AILA New York Chapter Symposium, Marriott Marquis ,New York,Annual AILA New York Chapter Symposium will cover the most important topics for attorneys who practice in New York with morning sessions providing the opportunity for specialized CLE credit and two tracks...
Thu 12 Dec 2019,CIO Influential Investors Forum,Harvard Club of  City ,New York,As corporate earnings begin to slow while political wrangling ramps up investment offices around the world are looking at managing the risks while still seeking opportunities. To successfully charter...
Thu 12 Dec 2019,FISD Issue Brief,Thomson Reuters ,New York,The FISD Issue Brief provides global services in government relations business development corporate education and intellectual property protection to the leading companies that are setting the pace...
Thu 12 Dec 2019,NY Chapter's Annual Tax Symposium,Sheraton  Times Square Hotel ,New York,NY Chapter's Annual Tax Symposium offers three concurrent technical tax sessions for Federal State and Local and International Taxes with a wide range of important topics and great speakers.  The program...
Thu 12 Dec 2019,SportTechie PRO Day,Reed Smith LLP ,New York,SportTechie PRO Day is a single-day educational event that covers a specific subject matter within sports technology. Led by industry experts attendees examine current realities explore possible solutions...
Mon 09  - Fri 13 Dec 2019,Mastering People Management & Team Leadership,,New York,Building Accountability Action and Agility Into Your Team Culture
Wed 11  - Fri 13 Dec 2019,CBAP Training Course in New York NY (Certified Business Analysis Professional course),,New York,CBAP(Certified Business Analysis Professional)  course is designed to help professionals gain new skills and expertise in advanced documentation effective planning and creation of business solutions....
Thu 12  - Fri 13 Dec 2019,How to Communicate with Diplomacy Tact and Credibility,AMA Conference Center  City ,New York,Be a consistently professional communicator—even in difficult circumstances.
Fri 13 Dec 2019,Ideation Fresh Foodservice Forum, Hilton Midtown ,New York,Ideation Fresh Foodservice Forum is a highly anticipated event. it is a platform to learn how to ‘up your game’ when it comes to getting and offering the most for your business and guests with the...
